Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Technique
Superjail!,,40,United States,2008,2014,Adult Swim,Flash
Superman,1,13,US,1988,1988,CBS,Traditional
Superman: The Animated Series,3,54,US,1996,2000,Kids' WB,Traditional
SuperMansion,3,41,United States,2015,2019,Crackle,Stop motion
Supernatural Academy,1,16,United States,2022,Present,Peacock,CGI
SuperNews!,,67,United States,2005,2010,Current TV,Flash
Sushi Pack,,52,"Canada, United States",2007,2009,CBS,Flash
Swamp Thing,1,5,US,1990,1991,Fox Kids,Traditional
SWAT Kats: The Radical Squadron,2,25,US,1993,1994,TBS,Traditional
"Sydney Sailboat, Bubble Bath Bay",2,52,Australia,2015,2015,"ABC Kids (Australia), Sprout (United States)",CGI
Sylvan,1,65,Spain,1995,1995,TV3,Traditional
Sylvanian Families,1,13,US,1987,1987,Syndication,Traditional
Sylvanian Families: Mini Stories,4,48,Japan,2017,2020,TV Tokyo,CGI
Sym-Bionic Titan,1,20,United States,2010,2011,Cartoon Network,Traditional
T.O.T.S.,,,United States,2019,Present,Disney Junior,CGI
T.U.F.F. Puppy,3,60,United States,2010,2015,"Nickelodeon, Nicktoons",Traditional
Tabaluga,3,78,"Australia, Germany",1997,2004,Seven Network,Traditional
Taffy,1,78,France,2018,Present,Boomerang,Flash
Tai Chi Chasers,,39,South Korea,2007,2008,KBS,Traditional
Taina and the Amazon's Guardians,1,26,Brazil,2018,Present,Nickelodeon,CGI
Tak and the Power of Juju,,26,United States,2007,2009,Nickelodeon,CGI
Take Two with Phineas and Ferb,1,21,United States,2010,2013,Disney Channel,Traditional
Tales from the Cryptkeeper,3,39,"US, Canada",1993,1997,"YTV, Teletoon, ABC, CBS",Traditional
Tales of Friendship with Winnie the Pooh,,52,United States,2012,2014,Disney Junior,Traditional
Tales of the Jedi,TBA,TBA,United States,2022,2022,Disney+,CGI
TaleSpin,1,65,US,1990,1991,"The Disney Channel, Syndication",Traditional
Talking Friends,1,10,United States,2012,2012,YouTube,CGI
Talking Tom and Friends,5,151,United States,2015,2021,YouTube,CGI
Talking Tom and Friends Minis,1,59,"Slovene, South Korea",2016,2018,YouTube,Flash
Talking Tom Heroes,1,52 (50 released so far),"Slovene, South Korea",2019,Present,YouTube,Flash
Talking Tom Shorts,2,65,United States,2014,Present,YouTube,CGI
Tara Duncan: The Evil Empress,1,26,France,2010,2011,"M8, Disney XD",Traditional
Tarantula,,10,United States,2017,2017,TBS,Traditional
Tarzan and Jane,2,13,"Canada, United States",2017,2018,Netflix,CGI
Tasty Time with ZeFronk,,20,United States,2008,2010,Playhouse Disney,Flash
Tayo the Little Bus,5,26,South Korea,2010,2019,EBS,CGI
Taz-Mania,4,65,US,1991,1995,Fox Kids,Traditional
Teacher's Pet,2,39,United States,2000,2002,Toon Disney,Traditional
Team Galaxy,,52,"Canada, France, Italy",2006,2007,YTV,CGI
Team Umizoomi,4,78,United States,2010,2015,Nick Jr.,"Flash, CGI, Live-action"
Team Zenko Go,2,22,United States,2022,Present,Netflix,CGI
Teamo Supremo,3,39,United States,2002,2004,Toon Disney,Traditional
Tear Along the Dotted Line,1,6,Italy,2021,Present,Netflix,Flash
Teddy Trucks,1,13,UK,1994,1994,"BBC, Sky One",Traditional
Teen Titans,5,65,United States,2003,2006,Cartoon Network,Traditional
Teen Titans Go!,6,294,United States,2013,Present,Cartoon Network,Flash
Teenage Euthanasia,1,7,United States,2021,Present,Adult Swim,Flash
Teenage Fairytale Dropouts,,26,"Australia, Mexico",2012,2013,Seven Network,Flash
Teenage Mutant Ninja Turtles,10,193,"US, Japan",1987,1996,"Syndication, CBS",Traditional
Teenage Mutant Ninja Turtles,,156,United States,2003,2010,4Kids TV,Traditional
Teenage Mutant Ninja Turtles,5,124,United States,2012,2017,Nickelodeon,CGI/Flash
Ten-Year-Old Tom,1,10,United States,2021,Present,HBO Max,Flash
Tender Touches,3,15,United States,2017,2020,Adult Swim,Traditional
The 7D,,44,United States,2014,2016,Disney XD,Traditional
The Addams Family,2,21,US,1992,1993,ABC,Traditional
The Adventures of Blinky Bill,3,78,Australia,1993,1995,ABC,Traditional
The Adventures of Bottle Top Bill and His Best Friend Corky,,26,Australia,2005,2009,ABC2,Traditional
The Adventures of Chico and Guapo,,5,United States,2006,2006,MTV2,Traditional
The Adventures of Chuck and Friends,2,39,"Canada, United States",2010,2012,"The Hub, Discovery Kids",CGI
The Adventures of Don Coyote and Sancho Panda,2,26,US,1990,1991,Syndication,Traditional
The Adventures of Hello Kitty & Friends,,52,"Hong Kong, Japan",2008,2008,TVB Jade,CGI
The Adventures of Hyperman,1,13,US,1995,1996,CBS,Traditional
The Adventures of Jimmy Neutron: Boy Genius,3,61,United States,2002,2006,Nickelodeon,CGI
The Adventures of Kid Danger,1,12,United States,2018,2018,Nickelodeon,Flash
The Adventures of Little Carp,,52,China,2006,2007,CCTV,Traditional
The Adventures of Napkin Man!,3,60,Canada,2013,2014,CBC Television,Traditional
The Adventures of Paddington,1,18[30],"France, Britain",2019,Present,Nickelodeon,CGI
The Adventures of Paddington Bear,3,39,"Canada, France",1997,2000,Teletoon,Traditional
The Adventures of Puss in Boots,6,77,United States,2015,2018,"Netflix, Discovery Kids (Latin American)",CGI
The Adventures of Raggedy Ann and Andy,1,13,US,1988,1990,CBS,Traditional
The Adventures of Rocky and Bullwinkle,1,26,United States,2018,2019,Amazon Video,Flash
The Adventures of Sam,1,13,Australia,1997,1997,ABC Television,Traditional
The Adventures of Sam,1,13,Australia,1999,1999,ABC Television,Traditional
The Adventures of Sam & Max: Freelance Police,1,24,"Canada, US",1997,1998,"Fox Kids, YTV",Traditional
The Adventures of Super Mario Bros. 3,1,26,"Canada, US",1990,1990,NBC,Traditional
The Adventures of T-Rex,1,52,"US, Japan",1992,1993,Syndication,Traditional
The Adventures of Teddy Ruxpin,2,65,US,1987,1987,Syndication,Traditional
The Adventures of Tintin,3,39,"Canada, France",1991,1992,Global Television Network,Traditional
The Amazing Spiez!,,52,"Canada, France",2009,2012,"TF1, Teletoon","Traditional (2009–2010), Flash (2010–2012)"
The Amazing World of Gumball,6,240,"Britain, United States",2011,2019,Cartoon Network,"Flash, Live-Action, CGI"
The Ambiguously Gay Duo,1,12,US,1996,2011,"ABC, NBC",Traditional
The Angry Beavers,4,63,US,1997,2001,Nickelodeon,Traditional
The Animal Shelf,4,52,UK,1997,2000,CITV,"Live-Action, Stop-Motion"
The Animals of Farthing Wood,3,39,UK,1993,1995,BBC,Traditional
The Avengers: Earth's Mightiest Heroes,2,52,United States,2010,2013,Disney XD,Traditional
The Avengers: United They Stand,1,13,US,1999,2000,Fox Kids,Traditional
The Awesomes,3,30,United States,2013,2015,Hulu,Flash
The Babaloos,1,65,"Canada, France",1995,1996,CBC Television,Traditional
The Baby Huey Show,1,26,US,1994,1995,Syndication,Traditional
The Backyardigans,,80,"Canada, United States",2004,2013,"Nickelodeon, Treehouse TV",CGI
The Bagel and Becky Show,,26,"Canada, Britain",2016,2017,Teletoon,Flash
The Barefoot Bandits,,10,"Australia, New Zealand",2014,2018,Eleven,Flash
The Baskervilles,2,26,Canada,1999,2001,Teletoon,Traditional
The Batman,,65,United States,2004,2008,Kids' WB,Traditional
The Beachbuds,1,52,Canada,2022,Present,Disney+ / Discovery Kids,CGI
The Beano All-Stars,1,26,UK,1993,1994,Direct-to-Video,Traditional
"The BeatBuds, Let’s Jam!",1,10,"United States, France",2021,Present,Nickelodeon / Paramount+,Traditional
The Bellflower Bunnies,3,52,"Canada, France",2001,2010,TF1,Traditional
The Berenstain Bears,3,40,Canada,2003,2004,"Treehouse, PBS Kids",Traditional
The Big Knights,1,13,UK,1999,2000,BBC One,Flash
The Blobs,1,26,UK,1997,1997,CITV,Traditional
The Bob Clampett Show,2,26,United States,2000,2001,Cartoon Network,Traditional
The Boondocks (2005),4,55,"United States, South Korea (season 4)",2005,2014,"Cartoon Network (Adult Swim), Teletoon (Teletoon at Night)",Traditional
The Boss Baby: Back in Business,4,49,Germany,2018,2020,ARD,CGI
The Boss Baby: Back in the Crib,1,12,United States,2022,Present,Netflix,CGI
The Bots Master,1,40,"US, France",1993,1995,"YTV, Syndication",Traditional
The Boy,,26,Canada,2004,2005,YTV,Traditional
The Boys Presents: Diabolical,1,8,United States,2022,Present,Amazon Prime Video,Traditional
The Brak Show,3,30,United States,2001,2003,Adult Swim,Flash
The Brak Show,3,30,United States,2007,2007,Adult Swim,Flash
The Brothers Flub,1,26,US,1999,2000,Nickelodeon,Traditional
The Brothers Grunt,1,31,"US, Canada",1994,1995,MTV,Traditional
The Bumble Nums,3,51,Canada,2017,Present,YouTube,Flash
The Busy World of Richard Scarry,5,65,"US, Canada, France",1994,1997,"Showtime, Nickelodeon",Traditional
The Buzz on Maggie,1,21,United States,2005,2006,Disney Channel,Flash
The California Raisin Show,1,13,US,1989,1989,CBS,Traditional
The Caribou Kitchen,1,52,UK,1995,1998,CITV,Traditional
The Casagrandes,,25[31],United States,2019,Present,Nickelodeon,Flash
The Cat in the Hat Knows a Lot About That!,3,80,"Canada, UK, United States",2010,2018,"Treehouse TV, PBS Kids",Flash
The Cat&Birdy Warneroonie PinkyBrainy Big Cartoonie Show,1,39,US,1999,2000,Kids' WB,Traditional
The Champions,4,25,United States,2018,Present,YouTube,Flash
The Charlie Show,,52,Brazil,2019,Present,Discovery Kids (Brazil),Flash
The Chica Show,2,26,United States,2012,2015,Sprout,Traditional
The Chicken Squad,1,29,United States,2021,2022,Disney Junior,CGI
The Chuck Jones Show,1,6,United States,2001,2003,Cartoon Network,Traditional
The Cleveland Show,,88,United States,2009,2013,Fox,"Flash (2009–2010), Traditional (2010–2013)"
The Comic Strip,1,65,US,1987,1987,Syndication,Traditional
The Completely Mental Misadventures of Ed Grimley,1,13,US,1988,1988,NBC,Traditional/Live-Action
The Country Mouse and the City Mouse Adventures,2,52,"Canada, France",1998,1999,HBO Family,Traditional
The Cramp Twins,2,53,"Britain, United States",2002,2006,"FoxBox/4Kids TV, Cartoon Network",Traditional
The Creature Cases,1,12,United States,2022,Present,Netflix,CGI
The Critic,2,23,US,1994,1995,"ABC, Fox",Traditional
The Croods: Family Tree,3,19,United States,2021,Present,"Hulu, Peacock",CGI
The Cuphead Show,2,25,"Canada, United States",2022,Present,Netflix,Traditional
The Daltons,2,191,France,2010,2015,France 3,Traditional
The DaVincibles,1,52,"Italy, Australia, United States",2011,2011,"Seven Network, Rai Fiction",Flash
The Day My Butt Went Psycho!,2,40,"Australia, Canada",2013,2015,"Nine Network (Australia), Teletoon (Canada)",Flash
The Deep,4,65,"Australia, Canada",2015,Present,"Family Chrgd (Canada), 7TWO (Australia), Discovery Kids (Latin American)",CGI
The Deerskins,2,26,Canada,2013,2014,APTN Kids,Traditional
The Dick & Paula Celebrity Special,1,7,US,1999,1999,FX,Traditional
The Dog & Pony Show,1,23,Canada,2020,Present,Treehouse TV,Traditional
The Doodled GoodParents,10,172,"Canada, USA",2006,2022,"PBS, CBC, Discovery, YouTube",Flash (Season 1-10)/CGI (Season 10)
The Doozers,2,72,"Canada, United States",2013,2014,"Hulu, Discovery Kids",CGI
The Dr. Binocs Show,6,305,India,2015,Present,YouTube,Flash
The Dragon Prince,3,27,United States,2018,Present,Netflix,Flash
The Dreaming Girl,1,26,China,2005,2005,CCTV,Traditional
The Dreamstone,4,52,UK,1990,1995,CITV,Traditional
The Drinky Crow Show,,11,United States,2008,2009,Adult Swim,CGI
The Dukes of Broxstonia,3,30,Australia,2010,2013,ABC3,Flash
The Emperor's New School,2,52,United States,2006,2008,Disney Channel,Traditional
The Enchanted World of Brambly Hedge,1,8,UK,1996,2000,BBC,Stop-Motion
The Epic Tales of Captain Underpants,4,45,United States,2018,2020,Netflix,Flash
The Fairly OddParents,10,172,United States,2001,2017,"Nickelodeon, Nicktoons",Traditional (Season 1–10) Flash (Season 10)
The Fairly OddParents: Fairly Odder,1,13,United States,2022,Present,Paramount+,Flash/Live-Action
The Fantastic Voyages of Sinbad the Sailor,1,26,US,1996,1998,Cartoon Network,Traditional
The Fixies,,139,Russia,2010,2022,Karusel,CGI/Flash
The Flamin' Thongs,,26,Australia,2014,2014,ABC3,CGI
The Forgotten Toys,1,28,UK,1995,1996,CITV,Traditional
The Foxbusters,2,26,UK,1999,2000,CITV,Traditional
The Freak Brothers,1,8,United States,2021,Present,Tubi,Flash
The Frog Show,,78,France,2003,2003,M6,Traditional
The Fruitties,1,56,Spain,1987,1989,TVE,Traditional
The Fungies!,3,80,United States,2020,2021,HBO Max,Traditional
The Further Adventures of SuperTed,1,13,"US, UK",1989,1990,Syndication,Traditional
The Future Is Wild,,26,Canada,2007,2008,"Discovery Kids, Teletoon",CGI
The Garfield Show,5,109,"France, United States",2009,2016,"France 3, Cartoon Network, Boomerang",CGI
The Ghost and Molly McGee,1,20,United States,2021,Present,Disney Channel,Flash
The Gnoufs,,52,France,2004,2004,France 3,CGI
The Goode Family,,13,United States,2009,2009,ABC,Traditional
The Great North,2,33,United States,2021,Present,Fox,Traditional
The Grim Adventures of Billy & Mandy,,78,United States,2001,2007,Cartoon Network,Traditional
The Guardians of Justice,1,7,United States,2022,Present,Netflix,Traditional/Live-Action
The Happos Family,,20,Italy,2016,2016,Boomerang,CGI
The Harper House,1,10,United States,2021,2021,Paramount+,Flash
The Haunted House,4,81,South Korea,2016,Present,Tooniverse,Traditional
The Head,2,14,US,1994,1996,MTV,Traditional
The Heroic Quest of the Valiant Prince Ivandoe,1,10,"Denmark, United Kingdom",2017,2017,"Cartoon Network Nordic (Denmark), YouTube (United Kingdom)",Flash
The High Fructose Adventures of Annoying Orange,2,60,United States,2012,2014,Cartoon Network,Syncro-Vox/Live Action
The Hive,2,78,UK,2010,2016,"CITV, Disney Junior",CGI
The Hollow,,20,Canada,2018,2020,Netflix,Flash
The Hoobs,5,250,Britain,2001,2002,Channel 4,Stop Motion
The Hot Rod Dogs and Cool Car Cats,2,26,UK,1995,1996,CITV,Traditional
The Impossible Quiz Book,4,41,"Britain, Canada",2008,2010,"E4, YTV",Flash
The Incredible Hulk,2,21,US,1996,1997,UPN,Traditional
The Ink and Paint Club,,60,US,1997,1998,Disney Channel,Traditional
The Insectibles,1,52,United States,2015,2015,"Discovery Kids (Latin American), Pop (British)",CGI
The Jellies!,2,20,United States,2017,2019,Adult Swim,Flash
The Judy Show,1,70,US,1999,1999,Hanna-Barbera,Traditional
The Jungle Book,2,104,India,2010,2020,"TF1, ZDF, Pakapaka, Discovery Kids",CGI
The Jungle Bunch: To the Rescue!,3,104,"France, UK",2013,2020,"France 3, Ludo, Boomerang, Pakapaka, Sprout, Nat Geo Kids",CGI
The Karate Kid,1,13,US,1989,1989,NBC,Traditional
The Kids from Room 402,2,52,"Canada, US",1999,2000,"Teletoon, Fox Family Channel",Traditional
The Koala Brothers,,90,"Australia, Britain",2003,2007,"ABC, CBeebies, Playhouse Disney, Discovery Kids",Stop motion
The Lampies,1,52,Britain,2001,2001,BBC2,Traditional
The Land Before Time,,26,United States,2007,2008,Cartoon Network,Traditional
The Last Kids on Earth,,11[33],"Canada, United States",2019,Present,Netflix,Traditional
The Legend of Calamity Jane,1,13,"France, US",1997,1997,Kids' WB,Traditional
The Legend of Korra,4,52,United States,2012,2014,Nickelodeon,Traditional
The Legend of Prince Valiant,2,65,US,1991,1994,The Family Channel,Traditional
The Legend of Qin,,100,China,2007,Present,,CGI
The Legend of Rayman,,58,United States,2003,2009,Nickelodeon,Traditional
The Legend of Tarzan,2,39,United States,2021,2003,ABC,Traditional
The Legend of Vox Machina,1,12,United States,2022,Present,Amazon Prime Video,Traditional
The Legend of White Fang,1,26,"Canada, France",1992,1994,Family Channel,Traditional
The Legend of Zelda,1,13,US,1989,1989,Syndication,Traditional
The Legends of Treasure Island,2,26,UK,1993,1995,CITV,Traditional
The Liberator,1,4,United States,2020,2020,Netflix,Rotoscope
The Life & Times of Tim,,30,United States,2008,2012,HBO,Flash
The Life and Times of Juniper Lee,3,40,United States,2005,2007,Cartoon Network,Traditional
The Likeaballs,,26,Britain,2006,2006,"BBC One, CBBC",Traditional
The Lingo Show,,30,Britain,2012,2013,CBeebies,Live action and Flash
The Lion Guard,3,74,United States,2016,2019,Disney Junior,Flash/Toon Boom[1]
The Lionhearts,1,13,US,1998,1998,UPN,Traditional
The Little Flying Bears,1,39,"Canada, Croatia",1990,1991,Syndication,Traditional
The Little Lulu Show,3,52,"US, Canada",1995,1999,HBO Family,Traditional
The Little Mermaid,3,31,US,1992,1994,CBS,Traditional
The Little Polar Bear,1,21,"UK, Germany",1992,1992,BBC TV,Traditional
The Little Witches,1,26,"France, Spain",1997,1999,TF1,Traditional
The Looney Tunes Show,2,52,United States,2011,2014,Cartoon Network,Traditional (CGI for shorts)
The Loud House,5,129,United States,2016,Present,Nickelodeon,Traditional (season 1—3) Flash/Toon Boom (since season 4)
The Magic House,,52,UK,1994,1996,ITV,Stop-Motion
The Magic Key,1,26,Britain,2000,2001,CBeebies,Traditional
The Magic Roundabout,2,52,Britain,2007,2010,Nickelodeon UK,CGI
The Magic School Bus,4,52,"US, Canada",1994,1997,PBS,Traditional
The Magic School Bus Rides Again,2,26,"Canada, United States",2017,2018,Netflix,Flash
The Magical Adventures of Quasimodo,1,26,"Canada, France, US",1996,1996,Family Channel,Traditional
The Magician,1,39,France,1997,1998,France 2,Traditional
The Marvelous Misadventures of Flapjack,3,92,United States,2008,2010,Cartoon Network,Traditional
The Mask: Animated Series,3,54,US,1995,1997,CBS,Traditional
The Maxx,1,13,US,1995,1995,MTV,Traditional
The Midnight Gospel,1,8,United States,2020,2020,Netflix,Flash/Traditional
The Mighty B!,2,40,United States,2008,2011,"Nickelodeon, Nicktoons",Traditional
The Mighty Ones,2,20,United States,2020,2021,"Hulu, Peacock",Flash
The Misfortune of Being Ned,2,20,United States,2013,2014,YouTube,Flash
The Morph Files,1,13,UK,1995,1995,BBC,Stop-Motion
The Mouse and the Monster,1,13,US,1996,1997,UPN,Traditional
The Moxy Show,1,24,US,1993,2000,Cartoon Network,CGI
The Mozart Band,1,26,Spain,1995,1995,TVE2,Traditional
The Mr. Men Show,,52,"Britain, United States",2008,2009,"Channel 5, Cartoon Network",Flash
The Mr. Peabody & Sherman Show,4,52,United States,2015,2017,Netflix,Flash
The Mummy: The Animated Series,2,26,United States,2001,2003,Kids' WB,Traditional
The Mysteries of Providence,1,26,France,2002,2002,TF1,Traditional
The Mysterious Cities of Gold,,26,"Belgium, France",2012,2013,"TF1, La Trois",Traditional
The Neverending Story: The Animated Adventures of Bastian Balthazar Bux,1,26,"Germany, Canada, France",1995,1996,HBO,Traditional
The New Adventures of Beany and Cecil,1,8,US,1988,1988,ABC,Traditional
The New Adventures of Captain Planet,6,113,US,1993,1995,TBS,Traditional
The New Adventures of Hanuman,2,52,India,2010,2011,Pogo TV,Flash
The New Adventures of He-Man,1,65,US,1990,1991,Syndication,Traditional
The New Adventures of Lucky Luke,1,52,France,2001,2003,France 3,Traditional
The New Adventures of Nanoboy,,26,"Canada, Singapore",2008,2008,,Flash
The New Adventures of Ocean Girl,1,26,Australia,2000,2000,Network Ten,Traditional
The New Adventures of Peter Pan,,26,"France, India",2012,2012,France 3,CGI
The New Adventures of Speed Racer,1,13,US,1993,1994,Syndication,Traditional
The New Adventures of Winnie the Pooh,4,83,US,1988,1991,"The Disney Channel, ABC",Traditional
The New Adventures of Zorro,2,26,US,1997,1998,Syndication,Traditional
The New Archies,1,14,US,1987,1989,NBC,Traditional
The New Batman Adventures,2,24,US,1997,1999,Kids' WB,Traditional
The New Show of Mr Tíron,,179,United States,2005,Present,Abel Studios channel,Traditional
The New Woody Woodpecker Show,3,53,US,1999,2002,Fox Kids,Traditional
The New Yogi Bear Show,1,45,US,1988,1988,Syndication,Traditional
The Nudnik Show,1,12,Czechoslovakia,1991,1991,Cartoon Network,Traditional
The Numtums,,77,Britain,2012,2014,CBeebies,CGI
The Nutshack,,16,United States,2007,2011,Myx TV,Flash
The Oblongs,2,13,United States,2001,2002,Adult Swim,Traditional
The Octonauts,4,104,"UK, Ireland",2010,2021,"CBeebies, Discovery Kids",CGI
The Oddbods Show,3,147,"Singapore, United Kingdom",2016,Present,"Boomerang, Disney Channel, YouTube",CGI
The Ollie & Moon Show,,52,France,2017,Present,"Sprout, Universal Kids, Discovery Kids",Flash
The Olympic Adventures of Fuwa,,100,China,2007,2007,,Traditional
The Owl House,2,40,United States,2020,Present,Disney Channel,Traditional
The Oz Kids,1,9,US,1996,1996,"ABC, Direct-to-video",Traditional
The Patrick Star Show,1,18,United States,2021,Present,Nickelodeon,Traditional
The Paz Show,,80,"Canada, Britain",2003,2006,Discovery Kids,Flash
The Penguins of Madagascar,3,149,United States,2008,2015,"Nickelodeon, Nicktoons",CGI
The Pink Panther,2,60,US,1993,1995,Syndication,Traditional
The Pinky and Perky Show,,52,"France, Britain",2008,2008,CBBC,CGI
The Pirates of Dark Water,2,21,US,1991,1993,"Syndication, ABC",Traditional
The PJs,3,46,US,1999,2001,"Fox, The WB",Stop Motion
The Plucky Duck Show,1,13,US,1992,1992,Fox Kids,Traditional
The Poddington Peas,1,13,UK,1989,1989,BBC One,Traditional
The Pole,1,6,United States,2021,Present,Syfy,Flash
The Polos,,52,Canada,2019,Present,Discovery Family,CGI
The Pondles,1,13,UK,1987,1987,"CITV, Nickelodeon",Traditional
The Popeye Show,1,45,United States,2001,2002,Cartoon Network,Traditional
The Power Team,1,26,US,1990,1992,USA Network,Traditional
The Powerpuff Girls,6,78,US,1998,2005,Cartoon Network,Traditional
The Powerpuff Girls (2016),,78,United States,2016,2019,Cartoon Network,Traditional
The Prince,1,13,United States,2021,2021,HBO Max,Flash
The Prince of Atlantis,1,26,UK,1997,1997,BBC1,CGI
The Problem Solverz,2,26,United States,2011,2013,Cartoon Network,Flash
The Proud Family,2,53,United States,2001,2005,Disney Channel,Traditional
The Proud Family: Louder and Prouder,1,10,United States,2022,Present,Disney+,Traditional
The Qpiz,,52,Italy,2010,2011,Rai Gulp,Flash
The Ratties,1,26,UK,1988,1988,ITV,Traditional
The Real Adventures of Jonny Quest,2,52,US,1996,1997,Cartoon Network,Traditional
The Remarkable Mr. King,1,7[34],Canada,2019,Present,Treehouse,ToonBoom Harmony
The Ren & Stimpy Show,5,52,US,1991,1996,Nickelodeon,Traditional
The Replacements,,52,United States,2006,2009,"Disney Channel, ABC Kids",Traditional
The Ricky Gervais Show,3,39,"UK, United States",2010,2012,HBO,Flash
The Ripping Friends,1,13,"Canada, United States",2001,2002,Fox Kids,Flash
The Rocketeer,,,United States,2019,2020,Disney Junior,CGI
The Rubbish World of Dave Spud,,26,Britain,2019,2021,CITV,Flash
The Savage Dragon,2,26,"US, Canada",1995,1996,USA Network,Traditional
The Save-Ums!,,61,Canada,2003,2006,"CBC Television, Discovery Kids",CGI
The Secret Files of the Spy Dogs,2,22,US,1998,1999,Fox Kids,Traditional
The Secret Saturdays,,36,United States,2008,2010,Cartoon Network,Traditional
The Secret Show,,52,Britain,2006,2010,CBBC,Flash
The Secret World of Benjamin Bear,,52,Canada,2003,2009,Family Channel,Traditional
The Secret World of Santa Claus,1,26,Canada,1999,1999,"Teletoon, Super RTL",Traditional
The Shivering Truth,2,12,United States,2018,2020,Adult Swim,Stop-motion
The Shnookums and Meat Funny Cartoon Show,1,13,US,1995,1995,Syndication,Traditional
The Shoe People,2,26,UK,1987,1988,CITV,Traditional
The Silver Brumby,3,39,Australia,1994,1998,Network Ten,Traditional
The Simpsons,33,722,US,1989,Present,Fox,Traditional
The Skinner Boys: Guardians of the Lost Secrets,,52,Australia,2014,2017,9Go!,Flash
The Smoggies,1,52,"Canada, France",1988,1991,"Antenne 2, Radio-Canada",Traditional
The Smurfs,1,52,"Belgium, United States",2021,Present,Nickelodeon,CGI
The Snoopy Show,2,19,United States,2021,Present,Apple TV+,Traditional
The Spectacular Spider-Man,2,26,United States,2008,2009,The CW,Traditional
The Spooktacular New Adventures of Casper,4,52,US,1996,1998,Fox Kids,Traditional
The Spooky Sisters,,13,Britain,2004,2004,,CGI
The Stanley Dynamic,2,52,Canada,2015,2017,YTV,Traditional/Live-action
The Stinky & Dirty Show,,26,"Britain, Ireland",2016,2019,Amazon Video,Traditional
The Strange Chores,,26,Australia,2019,Present,ABC Me,Toon Boom Harmony
The Studio K Show,,13,Canada,2017,Present,CBC Kids,Traditional
The Summoner,1,6,United States,2021,Present,Syfy,Flash
The Super Hero Squad Show,,52,United States,2009,2011,Cartoon Network,Traditional
The Super Mario Bros. Super Show!,1,65,US,1989,1990,Syndication,Traditional
The Sylvester & Tweety Mysteries,5,52,US,1995,2000,Kids' WB,Traditional
The Terrible Thunderlizards,1,36,"US, Canada",1993,1997,"Fox Kids, YTV",Traditional
The Tex Avery Show,,99,US,1996,2002,Cartoon Network,Traditional
The Three Friends and Jerry,3,39,"Sweden, UK",1998,1999,"Disney Channel, Nickelodeon",Traditional
The Tick,3,36,US,1994,1996,Fox Kids,Traditional
The Tiny Chef Show,TBA,TBA,United States,2022,2022,Nickelodeon,Stop-Motion/Live-Action
The Tofus,,26,"Canada, France",2004,2007,"Jetix, France 3, Teletoon",Traditional
The Tom and Jerry Show,,117,United States,2014,2021,"Cartoon Network (2014–2018), Boomerang (2019–2021)",Flash
The Treacle People,1,13,UK,1996,1997,CITV,Traditional
The Triplets,2,104,Spain,1994,2003,"Teletoon, Disney Junior",Traditional
The Twins of Destiny,1,52,France,1991,1991,TF1,Traditional
The Twisted Tales of Felix the Cat,2,21,US,1995,1997,CBS,Traditional
The Twisted Timeline of Sammy and Raj,1,20,India,2021,2021,Nickelodeon,Traditional
The Twisted Whiskers Show,1,52,"Canada, United States",2010,2010,"The Hub (United States), Teletoon (Canada)",CGI
The Unstoppable Yellow Yeti,1,50,"Finland, France",2022,Present,"Disney Channel, Yle Areena",Toon-Boom
The Untouchables of Elliot Mouse,1,26,Spain,1997,1997,Channel 4,Traditional
The VeggieTales Show,1,8,United States,2019,Present,TBNWTIU,CGI
The Venture Bros.,7,81,United States,2004,2018,Adult Swim,Traditional
The Wacky Adventures of Ronald McDonald,1,6,US,1998,2003,Direct-to-Video,Traditional
The Wacky World of Tex Avery,1,65,"France, US",1997,1997,"Syndication, M6",Traditional
The Way Things Work,TBA,TBA,UK,2002,2002,CBBC,Traditional
The Weekenders,4,39,United States,2000,2004,Toon Disney,Traditional
The Why Why Family,1,26,"France, US",1996,1996,Fox Kids,Traditional
The Wild Adventures of Blinky Bill,,26,Australia,2016,2017,7TWO,CGI
The Wild Thornberrys,5,91,US,1998,2004,Nickelodeon,Traditional
The Wizard of Oz,1,13,US,1990,1990,ABC,Traditional
The Wombles,3,52,"UK, Canada",1997,1998,CITV,Stop-Motion
The Wonderful World of Mickey Mouse,1,22,United States,2020,Present,Disney+,Traditional
The World of Peter Rabbit and Friends,1,9,UK,1992,1995,BBC1 (1992–96)BBC Two (1998),Traditional
The World of Tosh,1,26,Sweden,2002,2003,"SVT1, SVT2",Traditional
The WotWots,,78,New Zealand,2009,2011,TV2,CGI
The Wrong Coast,,13,"Canada, United States",2003,2005,The Movie Network,Stop motion
The X's,,20,United States,2005,2006,Nickelodeon,Flash
The Zeta Project,2,26,United States,2001,2002,The WB,Traditional
The ZhuZhus,,26,"Canada, United States",2016,2017,"Disney Channel, YTV",Flash
The Zimmer Twins,,30,Canada,2005,2005,Teletoon,Flash
The Zula Patrol,,52,United States,2005,2009,PBS Kids,CGI
Theodore Tugboat,5,130,Canada,1993,2001,CBC Television,Traditional
"This Is America, Charlie Brown",1,12,US,1988,1989,CBS,Traditional
This is Chukpa,,52,Vietman,2020,2020,,CGI
This Just In!,,6,United States,2004,2004,Spike,Flash
